Model,MAE,RMSE,R2
Linear Regression,1.9775322752709976,4.288401123648467,0.677267894169798
Random Forest Regressor,0.7443390416509436,2.1159167559213543,0.9214314885744405
Decision Tree Regressor,0.8568706886792453,2.7296075784920824,0.8692469584803137
