percent_near_river
12361.0
22913.0
9340.0
22998.0
15452.0
8186.0
11186.0
16028.0
10100.0
10563.0
15703.0
35741.0
29070.0
24011.0
8630.0
22729.0
17149.0
22718.0
9496.0
24929.0
12403.0
20514.0
10529.0
6992.0
25210.0
