latitude,longitude,elevation_m,distance_to_river_m
20,94,,102144.84780610482
20,96,,19826.834241974822
22,68,10.0,231402.07515660007
22,70,304.0,320411.00010770734
22,72,11.0,106409.11794445112
22,74,304.0,9413.676897983987
22,76,326.0,23138.589947662247
22,78,,33497.81187923275
22,80,,10891.20297293598
22,82,,13963.273072805217
22,84,,48495.77856465948
22,86,,79205.22650394666
22,88,,29306.561092616765
22,90,,58974.26233212938
22,92,,50339.809484973004
22,94,,4676.741607537494
22,96,,4851.69421632355
24,68,76.0,1923.8888760714583
24,70,223.0,220058.79654930046
24,72,75.0,198193.38820011265
24,74,224.0,31442.218814231335
24,76,453.0,54252.51314607956
24,78,,165.7339030013202
24,80,,108008.70326440429
24,82,,58001.588198438876
24,84,,67026.92862558938
24,86,,69261.15748407654
24,88,,21661.16789230492
24,90,,4188.4709775996125
24,92,,99461.3627537872
24,94,,58052.27240431766
24,96,,31281.46596064277
26,68,9.0,16994.096782589393
26,70,305.0,179916.4638850248
26,72,11.0,221286.2362734411
26,74,303.0,113850.70562220257
26,76,330.0,13669.623371861082
26,78,,70368.17689515314
26,80,,8044.3171826975395
26,82,,61221.31953748538
26,84,,12653.636938877613
26,86,,46600.16518942772
26,88,,89079.69789830955
26,90,,2928.896160223645
26,92,,31986.302498762794
26,94,,65160.44247712159
26,96,,13706.130118586525
28,68,76.0,62102.57180891381
28,70,225.0,56319.8993922063
28,72,75.0,181717.74271572422
28,74,223.0,278529.2037404881
28,76,452.0,158922.8617464953
28,78,,42749.37091990186
28,80,,76029.05985796044
28,82,,78578.25884173105
28,84,,11690.390782683417
28,86,,74880.60773738149
28,88,,67224.78130820578
28,90,,140311.84337909307
28,92,,19789.659983793343
28,94,,20607.878869794204
28,96,,16343.128154459147
30,68,,272247.1387415124
30,70,,85209.4466432336
30,72,,42808.63117951164
30,74,,49023.96088708189
30,76,,128312.85890785557
30,78,,19365.098552909283
30,80,,72753.57273604549
30,82,,18185.92061298914
30,84,,30610.982357015204
30,86,,29828.48002014862
30,88,,77033.95182437166
30,90,,81054.3068476791
30,92,,89596.68997441027
30,94,,90842.70583486215
30,96,,74601.28837547758
32,68,,261202.2912377075
32,70,,107102.43854662754
32,72,,26762.89113771962
32,74,,52479.83976939595
32,76,,3467.272380494234
32,78,,56200.37498230437
32,80,,12025.05630718269
32,82,,67468.01765267817
32,84,,176274.85467363455
32,86,,17823.07603099205
32,88,,66938.1412892275
32,90,,24162.404818328636
32,92,,52226.93338871968
32,94,,60616.4097952346
32,96,,62651.46599332332
34,68,,59585.23307651461
34,70,,184972.48043041106
34,72,,28017.579830695166
34,74,,13470.15504468026
34,76,,85372.91724491738
34,78,,30098.24091309204
34,80,,157679.54860851992
34,82,,206559.64921773179
34,84,,230069.29109772286
34,86,,49967.731878453174
34,88,,116112.90475648665
34,90,,97255.51704047708
34,92,,18349.03124517668
34,94,,40993.247010020554
34,96,,13857.284850003784
36,68,,128153.94067019985
36,70,,172683.49806443613
36,72,,97503.69548881926
36,74,,70097.76534323623
36,76,,80802.38679365513
36,78,,33201.13496365919
36,80,,1459.2018668966944
36,82,,79147.50436681896
36,84,,285185.0197512012
36,86,,156705.11025413734
36,88,,106019.45515105526
36,90,,65180.32950007681
36,92,,105477.00532114967
36,94,,99381.84559887562
36,96,,120500.06301712093
