Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.82425,0.13676286072772897,0.8790322580645161,0.23669923995656894,0.9269917856786178
Random Forest,0.97,0.5588235294117647,0.1532258064516129,0.24050632911392406,0.9119103498784914
Naive Bayes,0.9425,0.3037037037037037,0.6612903225806451,0.41624365482233505,0.9045157961316954
XGBoost,0.95025,0.2670807453416149,0.3467741935483871,0.3017543859649123,0.8691014181563966
SVM,0.852,0.15074626865671642,0.8145161290322581,0.25440806045340053,0.862024160258331
k-Nearest Neighbors,0.96875,0.49019607843137253,0.20161290322580644,0.2857142857142857,0.7560452661539998
Decision Tree,0.96475,0.3559322033898305,0.1693548387096774,0.22950819672131148,0.7046683062019375
