Model,R2 Score,MAE,RMSE
Random Forest,0.930217967432958,0.9205633633658917,2.0717674608099883
XGBoost,0.9229449319691668,0.9531701686854943,2.177057021750729
k-Nearest Neighbors,0.9218698168427957,0.9883695683962265,2.192192165789786
Decision Tree,0.8886521687243525,1.0342705182007685,2.617038318056306
Linear Regression,0.7086843818572673,2.7551561880669317,4.233027448424759
