lat,lon,river_distance
19.8735482,72.4084376,139459.7235051298
19.8735482,72.6584376,111873.36883278891
19.8735482,72.9084376,84446.96830956182
19.8735482,73.1584376,57410.22459600763
20.1235482,72.4084376,126974.8723382516
20.1235482,72.6584376,111428.25028493376
20.1235482,72.9084376,83856.39369923294
20.1235482,73.1584376,56537.93589908155
20.3735482,72.4084376,98855.66307891888
20.3735482,72.6584376,92537.18586993296
20.3735482,72.9084376,93224.08757810885
20.3735482,73.1584376,69360.71661190568
20.6235482,72.4084376,71944.75004353648
20.6235482,72.6584376,62982.026839255785
20.6235482,72.9084376,65623.3798241424
20.6235482,73.1584376,72009.90133364424
20.2581399,72.5598983,107558.68310321467
20.2581399,72.8098983,98200.14066862257
20.2581399,73.0598983,72092.71895069581
20.2581399,73.3098983,47700.78000160013
20.5081399,72.5598983,78497.28115992264
20.5081399,72.8098983,76752.61879012104
20.5081399,73.0598983,84430.86925665177
20.5081399,73.3098983,68690.00036199634
20.7581399,72.5598983,50131.08129759524
20.7581399,72.8098983,47352.57811046614
20.7581399,73.0598983,57451.47893459394
20.7581399,73.3098983,57416.56172293477
21.0081399,72.5598983,25127.77661808187
21.0081399,72.8098983,18772.5154686198
21.0081399,73.0598983,28751.590077813617
21.0081399,73.3098983,28347.66612015862
20.2971703,70.1957211,299596.5369582475
20.2971703,70.4457211,273566.7195607386
20.2971703,70.6957211,247928.25327881202
20.2971703,70.9457211,222816.27212874492
20.5471703,70.1957211,290903.7525636961
20.5471703,70.4457211,264018.29169489257
20.5471703,70.6957211,237350.64160888278
20.5471703,70.9457211,210983.41030426178
20.7971703,70.1957211,285046.63772875385
20.7971703,70.4457211,257550.48199201003
20.7971703,70.6957211,230134.56823557743
20.7971703,70.9457211,202831.43703194484
21.0471703,70.1957211,282217.1499791762
21.0471703,70.4457211,254415.37853718287
21.0471703,70.6957211,226620.50560105324
21.0471703,70.9457211,198835.42418378362
20.3198898,70.5391641,262908.83734017465
20.3198898,70.7891641,237338.78667122268
20.3198898,71.0391641,212337.81150417734
20.3198898,71.2891641,188132.92204983195
20.5698898,70.5391641,253273.62453507353
20.5698898,70.7891641,226619.0013925115
20.5698898,71.0391641,200284.34369154903
20.5698898,71.2891641,174414.64529270222
20.8198898,70.5391641,246849.07173153467
20.8198898,70.7891641,219415.37576415672
20.8198898,71.0391641,192095.68880519285
20.8198898,71.2891641,164946.66963041748
21.0698898,70.5391641,243906.82082679693
21.0698898,70.7891641,216099.93094131467
21.0698898,71.0391641,188299.83188695728
21.0698898,71.2891641,160510.0521876464
20.4101099,69.865279,330633.5254103914
20.4101099,70.115279,303894.3388270146
20.4101099,70.365279,277369.8142295263
20.4101099,70.615279,251127.97962223223
20.6601099,69.865279,324005.13625381887
20.6601099,70.115279,296669.12438718684
20.6601099,70.365279,269434.24808155646
20.6601099,70.615279,242334.60822320872
20.9101099,69.865279,320005.78213747084
20.9101099,70.115279,292295.98294745496
20.9101099,70.365279,264611.3873623591
20.9101099,70.615279,236960.8293057205
21.1601099,69.865279,318748.156318844
21.1601099,70.115279,290918.59377232427
21.1601099,70.365279,263089.0968418878
21.1601099,70.615279,235259.6888132401
20.452407,72.4323831,89162.30721880643
20.452407,72.6823831,82999.83337398406
